n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
60,5,1,2,0.1,0.5,1,0,117.8,3.2186953878862163,110,121
60,5,1,2,0.1,0.5,1,5,117.8,3.2186953878862163,110,121
60,10,1,1,0.1,0.5,1,0,115.6,1.8,112,118
60,10,1,1,0.1,0.5,1,5,115.6,1.8,112,118
30,10,1,1,0.1,0.5,1,0,115.9,2.118962010041709,113,119
30,10,1,1,0.1,0.5,1,5,115.9,2.118962010041709,113,119
60,5,1,1,0.1,0.5,1,0,116.1,1.8681541692269403,113,119
60,5,1,1,0.1,0.5,1,5,116.1,1.8681541692269403,113,119
30,5,1,1,0.1,0.5,1,0,117.6,2.727636339397171,113,123
30,5,1,1,0.1,0.5,1,5,117.6,2.727636339397171,113,123
60,10,1,2,0.1,0.5,1,0,118.8,2.0396078054371136,115,122
60,10,1,2,0.1,0.5,1,5,118.8,2.0396078054371136,115,122
30,10,1,2,0.1,0.5,1,0,118.9,2.3430749027719964,115,123
30,10,1,2,0.1,0.5,1,5,118.9,2.3430749027719964,115,123
30,5,1,2,0.1,0.5,1,0,119.8,2.5219040425836985,115,123
30,5,1,2,0.1,0.5,1,5,119.8,2.5219040425836985,115,123
