n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
60,5,1,2,0.1,0.5,1,5,70.3,0.9,69,72
60,5,1,2,0.1,0.5,1,10,70.3,0.9,69,72
60,10,1,1,0.1,0.5,1,5,70.5,0.806225774829855,69,71
60,10,1,1,0.1,0.5,1,10,70.5,0.806225774829855,69,71
30,10,1,2,0.1,0.5,1,5,70.9,1.044030650891055,69,73
30,10,1,2,0.1,0.5,1,10,70.9,1.044030650891055,69,73
60,5,1,1,0.1,0.5,1,5,71.0,1.1832159566199232,69,73
60,5,1,1,0.1,0.5,1,10,71.0,1.1832159566199232,69,73
30,10,1,1,0.1,0.5,1,5,71.2,1.3266499161421599,69,74
30,10,1,1,0.1,0.5,1,10,71.2,1.3266499161421599,69,74
60,10,1,2,0.1,0.5,1,5,70.7,0.6403124237432849,70,72
60,10,1,2,0.1,0.5,1,10,70.7,0.6403124237432849,70,72
30,5,1,2,0.1,0.5,1,5,72.2,1.16619037896906,70,74
30,5,1,2,0.1,0.5,1,10,72.2,1.16619037896906,70,74
30,5,1,1,0.1,0.5,1,5,72.1,1.1357816691600546,71,74
30,5,1,1,0.1,0.5,1,10,72.1,1.1357816691600546,71,74
