n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
60,10,1,1,0.1,0.5,1,0,132.4,2.33238075793812,127,135
60,10,1,1,0.1,0.5,1,5,132.4,2.33238075793812,127,135
30,10,1,1,0.1,0.5,1,0,133.3,2.9,129,138
30,10,1,1,0.1,0.5,1,5,133.3,2.9,129,138
30,5,1,1,0.1,0.5,1,0,134.0,3.0,129,140
30,5,1,1,0.1,0.5,1,5,134.0,3.0,129,140
60,10,1,2,0.1,0.5,1,0,134.2,2.4413111231467406,129,138
60,10,1,2,0.1,0.5,1,5,134.2,2.4413111231467406,129,138
30,10,1,2,0.1,0.5,1,0,134.7,3.287856444554719,129,140
30,10,1,2,0.1,0.5,1,5,134.7,3.287856444554719,129,140
60,5,1,2,0.1,0.5,1,0,135.1,3.6999999999999997,129,141
60,5,1,2,0.1,0.5,1,5,135.1,3.6999999999999997,129,141
30,5,1,2,0.1,0.5,1,0,136.2,3.8418745424597094,129,141
30,5,1,2,0.1,0.5,1,5,136.2,3.8418745424597094,129,141
60,5,1,1,0.1,0.5,1,0,134.6,3.411744421846396,130,140
60,5,1,1,0.1,0.5,1,5,134.6,3.411744421846396,130,140
