n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
60,10,1,1,0.1,0.5,1,5,77.1,0.30000000000000004,77,78
60,10,1,1,0.1,0.5,1,10,77.1,0.30000000000000004,77,78
60,10,1,2,0.1,0.5,1,5,77.3,0.45825756949558394,77,78
60,10,1,2,0.1,0.5,1,10,77.3,0.45825756949558394,77,78
60,5,1,1,0.1,0.5,1,5,77.4,0.9165151389911679,77,80
60,5,1,1,0.1,0.5,1,10,77.4,0.9165151389911679,77,80
30,10,1,1,0.1,0.5,1,5,77.6,1.2,77,81
30,10,1,1,0.1,0.5,1,10,77.6,1.2,77,81
60,5,1,2,0.1,0.5,1,5,78.1,1.1357816691600546,77,80
60,5,1,2,0.1,0.5,1,10,78.1,1.1357816691600546,77,80
30,5,1,2,0.1,0.5,1,5,78.1,2.211334438749598,77,83
30,5,1,2,0.1,0.5,1,10,78.1,2.211334438749598,77,83
30,5,1,1,0.1,0.5,1,5,78.2,1.8867962264113207,77,83
30,5,1,1,0.1,0.5,1,10,78.2,1.8867962264113207,77,83
30,10,1,2,0.1,0.5,1,5,78.9,2.1656407827707715,77,83
30,10,1,2,0.1,0.5,1,10,78.9,2.1656407827707715,77,83
