n_ants,n_iterations,alpha,beta,rho,c,gamma,elitist_forget_generations,mean_makespan,std_makespan,min_makespan,max_makespan
40,40,1,3,0.1,0.5,1,,131.0,0.0,131,131
80,80,1,3,0.1,0.5,1,,133.0,0.0,133,133
50,50,1,3,0.1,0.5,1,,134.0,0.0,134,134
60,60,1,3,0.1,0.5,1,,135.0,0.0,135,135
70,70,1,3,0.1,0.5,1,,138.0,0.0,138,138
30,30,1,3,0.1,0.5,1,,140.0,0.0,140,140
